YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,BBOX
"2018",CA,CCO,VNC,CAMPUS,"00015892",2018/02/25,2018/02/25,"14",VCFD Cause undetermin post investig.  18-0015892,0.00000000000,0.20795200000,"6","1",,115.70257863900,841.55285161200,"Polygon ((-118.83234772 34.29831697, -118.83195746 34.29831697, -118.83195746 34.29866486, -118.83234772 34.29866486, -118.83234772 34.29831697))"
"2018",CA,CCO,VNC,CANADA,"00074949",2018/09/18,2018/09/18,"14",18-0074949,0.00000000000,0.00349990000,"6","1",,16.34976413100,14.16360078310,"Polygon ((-119.25282013 34.3576368, -119.25276481 34.3576368, -119.25276481 34.3576869, -119.25282013 34.3576869, -119.25282013 34.3576368))"
"2018",CA,CCO,VNC,KUEHNER,"00035430",2018/05/07,2018/05/07,"14",VCFD Cause undetermin post investig.  18-0035430,0.00000000000,0.34391000000,"6","1",,318.54769737900,1391.75321104000,"Polygon ((-118.64462549 34.26743394, -118.64332999 34.26743394, -118.64332999 34.26831616, -118.64462549 34.26831616, -118.64462549 34.26743394))"
"2018",CA,CCO,VNC,ROADRUNNER,"00090963",2018/11/08,2018/11/08,"14",Cause under investigation 18-0090963,2.00000000000,0.61352200000,"6","1",,180.21961770900,2482.83378450000,"Polygon ((-118.92172178 34.20615407, -118.9211156 34.20615407, -118.9211156 34.20663764, -118.92172178 34.20663764, -118.92172178 34.20615407))"
"2018",CA,CCO,VNC,PERKINS,"00047412",2018/06/19,2018/06/19,"14",18-0047412,0.00000000000,0.30486900000,"1","1",,196.09444313500,1233.76289507000,"Polygon ((-119.18643432 34.13751043, -119.18568062 34.13751043, -119.18568062 34.13805323, -119.18643432 34.13805323, -119.18643432 34.13751043))"
"2018",CA,CCO,VNC,CENTER,"00005891",2018/01/20,2018/01/20,"14",18-0005891,0.00000000000,0.63562000000,"6","1",,185.76729750700,2572.26122999000,"Polygon ((-119.19149306 34.24402092, -119.19088151 34.24402092, -119.19088151 34.24455528, -119.19149306 34.24455528, -119.19149306 34.24402092))"
"2018",CA,CCO,VNC,BROMLEY,"00067353",2018/08/25,2018/08/25,"9",Unintentional 18-0067353,0.00000000000,0.07621310000,"6","1",,69.49634420030,308.42344902400,"Polygon ((-118.77644817 34.19106275, -118.7761491 34.19106275, -118.7761491 34.19120364, -118.77644817 34.19120364, -118.77644817 34.19106275))"
"2018",CA,CCO,VNC,RIVER,"00046639",2018/06/16,2018/06/16,"14",Undetermined 18-0046639,1.50000000000,0.88026000000,"1","1",,278.50212927600,3562.28533392000,"Polygon ((-119.31126027 34.27656488, -119.31005059 34.27656488, -119.31005059 34.2771223, -119.31126027 34.2771223, -119.31126027 34.27656488))"
"2018",CA,CCO,VNC,SOUTH MOUNTAIN,"00052451",2018/07/06,2018/07/06,"14",18-0052451,1.00000000000,0.01594590000,"6","1",,29.49030464850,64.53066138940,"Polygon ((-119.05812973 34.3402448, -119.05802513 34.3402448, -119.05802513 34.34032343, -119.05812973 34.34032343, -119.05812973 34.3402448))"
"2018",CA,CCO,VNC,MADERA,"00083903",2018/10/16,2018/10/16,"14",VCFD Cause undetermin post investig.  18-0083903,0.00000000000,0.06417420000,"6","1",,74.23173754850,259.70387432200,"Polygon ((-118.8132473 34.29132025, -118.81288655 34.29132025, -118.81288655 34.29142884, -118.8132473 34.29142884, -118.8132473 34.29132025))"
